BodyPart,adj,totalM,pctM,totalF,pctF,diff,total
face,open,21,0.000972853,6,0.000280256,3.471300843,27
face,wrinkle,14,0.000648569,13,0.000607221,1.068092567,27
finger,hard,18,0.000833874,9,0.000420384,1.983600482,27
finger,tightly,12,0.000555916,15,0.00070064,-1.260334439,27
foot,still,17,0.000787547,10,0.000467093,1.68606041,27
hair,silky,7,0.000324284,20,0.000934187,-2.880764432,27
hand,brown,13,0.000602242,14,0.000653931,-1.085826593,27
hand,delicate,12,0.000555916,15,0.00070064,-1.260334439,27
hand,first,16,0.000741221,11,0.000513803,1.442618532,27
hand,huge,25,0.001158158,2,9.34E-05,12.39750301,27
hand,wet,10,0.000463263,17,0.000794059,-1.714054837,27
head,over,16,0.000741221,11,0.000513803,1.442618532,27
lip,top,10,0.000463263,17,0.000794059,-1.714054837,27
shoulder,still,18,0.000833874,9,0.000420384,1.983600482,27
skin,still,15,0.000694895,12,0.000560512,1.239750301,27
arm,hard,15,0.000694895,11,0.000513803,1.352454874,26
body,big,19,0.0008802,7,0.000326965,2.692029225,26
body,limp,14,0.000648569,12,0.000560512,1.157100281,26
eye,yellow,20,0.000926526,6,0.000280256,3.306000803,26
face,grave,16,0.000741221,10,0.000467093,1.586880385,26
face,straight,13,0.000602242,13,0.000607221,-1.008267551,26
face,wide,13,0.000602242,13,0.000607221,-1.008267551,26
finger,thick,20,0.000926526,6,0.000280256,3.306000803,26
finger,thin,9,0.000416937,17,0.000794059,-1.904505374,26
foot,apart,17,0.000787547,9,0.000420384,1.873400455,26
hand,late,16,0.000741221,10,0.000467093,1.586880385,26
head,ruefully,18,0.000833874,8,0.000373675,2.231550542,26
leg,front,13,0.000602242,13,0.000607221,-1.008267551,26
leg,good,12,0.000555916,14,0.000653931,-1.176312143,26
leg,together,9,0.000416937,17,0.000794059,-1.904505374,26
leg,wide,11,0.00050959,15,0.00070064,-1.374910297,26
mouth,soft,13,0.000602242,13,0.000607221,-1.008267551,26
shoulder,forward,13,0.000602242,13,0.000607221,-1.008267551,26
eye,heavy,11,0.00050959,14,0.000653931,-1.28324961,25
finger,down,16,0.000741221,9,0.000420384,1.763200428,25
finger,small,7,0.000324284,18,0.000840768,-2.592687988,25
hair,greasy,16,0.000741221,9,0.000420384,1.763200428,25
hair,little,11,0.00050959,14,0.000653931,-1.28324961,25
hand,far,17,0.000787547,8,0.000373675,2.107575512,25
hand,forth,17,0.000787547,8,0.000373675,2.107575512,25
head,simply,12,0.000555916,13,0.000607221,-1.092289847,25
lip,gently,13,0.000602242,12,0.000560512,1.074450261,25
mouth,thin,13,0.000602242,12,0.000560512,1.074450261,25
